ville,insee,ensoleillement_h
Bergerac,24037,3042.0
Sens,89387,2888.0
Lambersart,59328,2782.0
Armentières,59017,2815.0
Gradignan,33192,3146.0
Villeparisis,77514,2890.0
Sannois,95582,2892.0
Étampes,91223,
Grigny,91286,2821.0
Cenon,33119,3113.0
Brétigny-sur-Orge,91103,
Lunel,34145,3531.0
La Garde,83062,3749.0
Élancourt,78208,2881.0
Saumur,49328,3011.0
Vertou,44215,3036.0
Aurillac,15014,3108.0
Eaubonne,95203,2892.0
Biarritz,64122,3177.0
Miramas,13063,3663.0
Muret,31395,3102.0
Castelnau-le-Lez,34057,3529.0
Villeneuve-la-Garenne,92078,2892.0
Les Ulis,91692,2884.0
Les Pavillons-sous-Bois,93057,2837.0
Sèvremoine,49301,3047.0
Le Grand-Quevilly,76322,2869.0
Lormont,33249,3113.0
Hénin-Beaumont,62427,
Brunoy,91114,
Cavaillon,84035,3639.0
Saint-Ouen-l'Aumône,95572,2927.0
Sainte-Suzanne,974420,
Alençon,61001,2888.0
Saintes,17415,3164.0
Vernon,27681,2870.0
Béthune,62119,2849.0
Vichy,03310,3105.0
Le Bouscat,33069,3113.0
Vierzon,18279,2967.0
Libourne,33243,3111.0
Eysines,33162,3131.0
Kourou,973304,
Montbéliard,25388,3027.0
Petit-Bourg,971118,
Orly,94054,2860.0
Laon,02408,2825.0
Frontignan,34108,3527.0
Le Kremlin-Bicêtre,94043,2901.0
Couëron,44047,3090.0
Fontenay-aux-Roses,92032,2901.0
Montgeron,91421,2821.0
Beaupréau-en-Mauges,49023,3036.0
Rodez,12202,3116.0
Sainte-Anne,971128,
Les Lilas,93045,2837.0
Dole,39198,3022.0
La Valette-du-Var,83144,3749.0
Dammarie-les-Lys,77152,2917.0
Olivet,45232,2912.0
Hérouville-Saint-Clair,14327,
Rochefort,17299,3225.0
Combs-la-Ville,77122,2870.0
Lanester,56098,2991.0
Roissy-en-Brie,77390,
Tassin-la-Demi-Lune,69244,3270.0
Saint-Jean-de-Braye,45284,2931.0
Deuil-la-Barre,95197,2892.0
Maisons-Laffitte,78358,2922.0
Le Moule,971117,
Vélizy-Villacoublay,78640,2913.0
Challans,85047,3153.0
Saint-Dizier,52448,2902.0
Torcy,77468,2895.0
Saint-Louis,68297,3027.0
Manosque,04112,3679.0
Loos,59360,2806.0
Gif-sur-Yvette,91272,2884.0
Les Pennes-Mirabeau,13071,3732.0
Oyonnax,01283,3186.0
Montigny-lès-Cormeilles,95424,2922.0
Auch,32013,3089.0
Abbeville,80001,2863.0
Villeneuve-sur-Lot,47323,3127.0
Mantes-la-Ville,78362,2929.0
Sèvres,92072,2926.0
Montereau-Fault-Yonne,77305,
Achères,78005,2922.0
Le Petit-Quevilly,76498,2889.0
Arcueil,94003,2901.0
Épernay,51230,2880.0
Gujan-Mestras,33199,3297.0
Dax,40088,3119.0
Millau,12145,3200.0
Fontaine,38169,3274.0
Chemillé-en-Anjou,49092,
Longjumeau,91345,2855.0
Neuilly-Plaisance,93049,2837.0
Hazebrouck,59295,2792.0
Nogent-sur-Oise,60463,2864.0
Voiron,38563,3301.0
Fleury-les-Aubrais,45147,2931.0
La Madeleine,59368,2782.0
Saint-Michel-sur-Orge,91570,2887.0
Montmorency,95428,2892.0
Montigny-lès-Metz,57480,2879.0
Sainte-Foy-lès-Lyon,69202,3240.0
Morsang-sur-Orge,91434,2821.0
Mandelieu-la-Napoule,06079,
Gardanne,13041,3703.0
Le Robert,972222,
Lagny-sur-Marne,77243,
Allauch,13002,3715.0
Bruay-la-Buissière,62178,
Givors,69091,3267.0
Saint-Gratien,95555,2892.0
Saint-Cyr-l'École,78545,2926.0
Ozoir-la-Ferrière,77350,2872.0
Saint-Genis-Laval,69204,3269.0
Montaigu-Vendée,85146,3050.0
Le Plessis-Trévise,94059,2895.0
Mons-en-Barœul,59410,2782.0
Plaisance-du-Touch,31424,3096.0
Saint-Mandé,94067,2868.0
Bourg-la-Reine,92014,2891.0
Villeneuve-le-Roi,94077,2860.0
Carquefou,44026,3035.0
Sceaux,92071,2891.0
Concarneau,29039,3104.0
Chaumont,52121,2897.0
Lingolsheim,67267,3032.0
Carrières-sous-Poissy,78123,2895.0
Coudekerque-Branche,59155,2929.0
Wasquehal,59646,2810.0
Halluin,59279,2821.0
La Chapelle-sur-Erdre,44035,3074.0
Denain,59172,2838.0
Cugnaux,31157,3103.0
Maurepas,78383,2881.0
Chaville,92022,2926.0
Croix,59163,2810.0
Bouguenais,44020,3095.0
Joinville-le-Pont,94042,2868.0
Le Creusot,71153,3059.0
Forbach,57227,
La Celle-Saint-Cloud,78126,
Mitry-Mory,77294,
Chilly-Mazarin,91161,
Beaune,21054,
Lannion,22113,
Fougères,35115,
L' Isle-sur-la-Sorgue,84054,
Grande-Synthe,59271,
Mont-Saint-Aignan,76451,
Sarreguemines,57631,
Cahors,46042,
Bruges,33075,
